t,S(t),I(t),R(t),N
0,146799982,18,0,146800000
1,146799974.9218758,24.29707317257153,0.7810510227657659,146800000.0
2,146799965.3675595,32.797097091668064,1.8353434157438926,146800000.0
3,146799952.47078714,44.27074520190898,3.258467660344209,146800000.0
4,146799935.0622441,59.7583003091874,5.1794556033549455,146800000.0
5,146799911.56354702,80.66397312944926,7.772479855360615,146800000.0
6,146799879.8441376,108.88321624834921,11.272646142645812,146800000.0
7,146799837.02811337,146.97457590319345,15.997310731633206,146800000.0
8,146799779.23348215,198.39166145657083,22.374856391205583,146800000.0
9,146799701.22020188,267.7962619236795,30.983536196580758,146800000.0
10,146799595.91509715,361.48099408029407,42.6039087724796,146800000.0
11,146799453.7705851,487.9397935627419,58.28962134733615,146800000.0
12,146799261.8990798,658.6379575139553,79.46296268639264,146800000.0
13,146799002.9046157,889.051526670737,108.04385762901813,146800000.0
14,146798653.30579638,1200.0701905340916,146.62401308109702,146800000.0
15,146798181.40715417,1619.8908142068158,198.7020316205253,146800000.0
16,146797544.42605487,2186.573087337271,269.0008577976073,146800000.0
17,146796684.6148926,2951.4886799422925,363.89642745574065,146800000.0
18,146795524.0274243,3983.976031175066,491.99654451925653,146800000.0
19,146793957.45552206,5377.62171563079,664.9227623088154,146800000.0
20,146791842.89739648,7258.735911099029,898.3666924258941,146800000.0
21,146788988.69572914,9797.78678894463,1213.5174819189033,146800000.0
22,146785136.1844063,13224.823945981265,1638.9916477084153,146800000.0
23,146779936.27930215,17850.277245497833,2213.443452352156,146800000.0
24,146772917.90673044,24092.99492757934,2989.09834197742,146800000.0
25,146763445.43632206,32518.023226046225,4036.540451890567,146800000.0
26,146750661.31216624,43887.48023169668,5451.207602059527,146800000.0
27,146733408.77772903,59229.00442021401,7362.217850751564,146800000.0
28,146710127.86471835,79927.74347281698,9944.391808835237,146800000.0
29,146678715.5364889,107849.7867519064,13434.67675920295,146800000.0
30,146636337.88902676,145507.438997198,18154.671976040932,146800000.0
31,146579178.4418784,196279.88019852835,24541.677923063457,146800000.0
32,146502101.61928448,264706.6099010874,33191.77081443177,146800000.0
33,146398204.39125338,356875.5666294771,44920.042117140954,146800000.0
34,146258221.71406126,480932.6125931628,60845.67334557697,146800000.0
35,146069743.19961596,647743.3139311231,82513.48645292153,146800000.0
36,145816190.34018216,871739.7503783951,112069.90943944955,146800000.0
37,145475497.8884004,1171980.7615665183,152521.350033076,146800000.0
38,145018444.2370652,1573436.7833213892,208118.97961341473,146800000.0
39,144406592.4408607,2108468.469920383,284939.0892189285,146800000.0
40,143589850.85369125,2818382.5678021368,391766.57850661315,146800000.0
41,142503764.53507957,3754790.872858188,541444.5920622433,146800000.0
42,141066841.4065249,4980233.195353122,752925.398121981,146800000.0
43,139178545.34646997,6567123.1064934395,1054331.547036592,146800000.0
44,136719089.39659777,8593548.672226068,1487361.9311761595,146800000.0
45,133552819.63804114,11133946.502777267,2113233.859181594,146800000.0
46,129537626.95789002,14242560.887433898,3019812.1546760835,146800000.0
47,124542994.60629314,17928677.00417342,4328328.389533438,146800000.0
48,118478112.23776233,22125917.13090166,6195970.631336007,146800000.0
49,111327895.65655647,26663894.63729813,8808209.706145398,146800000.0
50,103188464.50168516,31257374.17878958,12354161.319525264,146800000.0
51,94286930.51151289,35530038.905154526,16983030.583332583,146800000.0
52,84969018.15806112,39079707.87828113,22751273.96365775,146800000.0
53,75648059.67817318,41569177.116021745,29582763.20580507,146800000.0
54,66728529.81467926,42806146.64433694,37265323.540983796,146800000.0
55,58533258.849233225,42776846.02623661,45489895.12453017,146800000.0
56,51261622.493909225,41623629.949054904,53914747.55703587,146800000.0
57,44987425.24698044,39586018.50759603,62226556.245423526,146800000.0
58,39685611.948623225,36935658.65339445,70178729.39798233,146800000.0
59,35269384.13112621,33927017.932000466,77603597.93687332,146800000.0
60,31623488.08892966,30770515.003983933,84405996.90708642,146800000.0
61,28627565.455965973,27624329.849814944,90548104.69421908,146800000.0
62,26169527.634484384,24597692.425372947,96032779.94014268,146800000.0
63,24151532.330714546,21759357.752812587,100889109.91647285,146800000.0
64,22491417.187251978,19147231.089792274,105161351.72295573,146800000.0
65,21121769.680140827,16777100.714374103,108901129.60548508,146800000.0
66,19988010.58376618,14649727.937294908,112162261.4789389,146800000.0
67,19046249.894506197,12756227.551176064,114997522.55431774,146800000.0
68,18261279.2028649,11081964.249225425,117456756.54790968,146800000.0
69,17604841.26404612,9609272.303716442,119585886.43223745,146800000.0
70,17054203.88724003,8319291.169248452,121426504.94351153,146800000.0
71,16591014.295132127,7193160.349086588,123015825.35578129,146800000.0
72,16200392.008136857,6212762.077378774,124386845.91448437,146800000.0
73,15870215.992407555,5361151.895760655,125568632.11183178,146800000.0
74,15590566.163471945,4622778.365491576,126586655.4710365,146800000.0
75,15353285.817799808,3983563.669807567,127463150.51239263,146800000.0
76,15151638.092263954,3430895.188548033,128217466.71918802,146800000.0
77,14980035.298962196,2953562.527816471,128866402.17322133,146800000.0
78,14833824.72370679,2541663.4201022866,129424511.85619093,146800000.0
79,14709118.248094527,2186494.1419323436,129904387.60997313,146800000.0
80,14602656.092732102,1880434.6915091367,130316909.21575876,146800000.0
81,14511697.238906771,1616835.2400918286,130671467.5210014,146800000.0
82,14433930.812015574,1389907.8216429923,130976161.36634143,146800000.0
83,14367404.023920551,1194625.5014023404,131237970.47467712,146800000.0
84,14310463.27056905,1026630.114895953,131462906.61453499,146800000.0
85,14261705.741727075,882148.917877235,131656145.34039569,146800000.0
86,14219939.479791284,757920.0108749198,131822140.50933379,146800000.0
87,14184150.268575309,651126.1126175104,131964723.61880718,146800000.0
88,14153474.074032659,559336.09401648,132087189.83195086,146800000.0
89,14127174.022121828,480453.6064320138,132192372.37144615,146800000.0
90,14104621.103229605,412672.11535082245,132282706.78141956,146800000.0
91,14085277.951848324,354435.6631814039,132360286.38497026,146800000.0
92,14068685.175149167,304404.7187816929,132426910.10606913,146800000.0
93,14054449.802685997,261426.51719094097,132484123.68012306,146800000.0
94,14042235.507728046,224509.34456295153,132533255.14770901,146800000.0
95,14031754.313219672,192800.27637491623,132575445.41040541,146800000.0
96,14022759.545573253,165565.9289957042,132611674.52543105,146800000.0
97,14015039.84006856,142175.8340494061,132642784.32588203,146800000.0
98,14008414.034593519,122088.09081445051,132669497.87459202,146800000.0
99,14002726.815386502,104836.99373578704,132692436.1908777,146800000.0
100,13997845.0005458,90022.36988640002,132712132.6295678,146800000.0
101,13993654.365306554,77300.3949806632,132729045.23971277,146800000.0
102,13990056.928193042,66375.68652143961,132743567.38528551,146800000.0
103,13986968.629721561,56994.49912812651,132756036.8711503,146800000.0
104,13984317.345822128,48938.87034845299,132766743.78382942,146800000.0
105,13982041.18693725,42021.585615447606,132775937.22744732,146800000.0
106,13980087.041141905,36081.84877864759,132783831.11007945,146800000.0
107,13978409.325851396,30981.56010560357,132790609.114043,146800000.0
108,13976968.91793898,26602.117085459144,132796428.96497557,146800000.0
109,13975732.236532677,22841.66501697625,132801426.09845035,146800000.0
110,13974670.456531879,19612.73445102726,132805716.80901709,146800000.0
111,13973758.834087253,16840.211281042124,132809400.9546317,146800000.0
112,13972976.128011726,14459.592810710252,132812564.27917756,146800000.0
113,13972304.103410276,12415.489632272747,132815280.40695745,146800000.0
114,13971727.105794331,10660.338758017895,132817612.55544765,146800000.0
115,13971231.69563447,9153.298282090065,132819615.00608344,146800000.0
116,13970806.334746901,7859.298014174461,132821334.36723892,146800000.0
117,13970441.117141398,6748.224112219735,132822810.65874639,146800000.0
118,13970127.538012302,5794.21882733835,132824078.24316037,146800000.0
119,13969858.29545603,4975.079129096251,132825166.62541488,146800000.0
120,13969627.12027063,4271.740263074475,132826101.1394663,146800000.0
121,13969428.629854191,3667.832256321045,132826903.5378895,146800000.0
122,13969258.202785471,3149.299074575017,132827592.49813995,146800000.0
123,13969111.871155698,2704.0715863151527,132828184.057258,146800000.0
124,13968986.228136702,2321.7867358655067,132828691.98512743,146800000.0
125,13968878.348627487,1993.5463995111584,132829128.104973,146800000.0
126,13968785.721127423,1711.7103194184494,132829502.56855316,146800000.0
127,13968706.18924677,1469.7183012791718,132829824.09245194,146800000.0
128,13968637.901490547,1261.9375412227141,132830100.16096824,146800000.0
129,13968579.268144904,1083.531531336989,132830337.20032376,146800000.0
130,13968528.924261082,930.3474945887999,132830540.72824433,146800000.0
131,13968485.697874265,798.8197306297416,132830715.48239511,146800000.0
132,13968448.582716784,685.8866238813313,132830865.53065935,146800000.0
133,13968416.71478996,588.9193829799733,132830994.36582707,146800000.0
134,13968389.352248805,505.660853491534,132831104.9868977,146800000.0
135,13968365.858131042,434.17298010397246,132831199.96888886,146800000.0
136,13968345.68552821,372.7916957111741,132831281.52277608,146800000.0
137,13968328.364853472,320.0881875826234,132831351.54695895,146800000.0
138,13968313.492909664,274.8356391843479,132831411.67145115,146800000.0
139,13968300.723503,235.98067362343556,132831463.29582338,146800000.0
140,13968289.759383872,202.61883409198913,132831507.62178203,146800000.0
141,13968280.345327124,173.9735306295206,132831545.68114224,146800000.0
142,13968272.262190646,149.37796318951004,132831578.35984617,146800000.0
143,13968265.321813995,128.25960026184245,132831606.41858573,146800000.0
144,13968259.36263826,110.12685177894357,132831630.51050995,146800000.0
145,13968254.24594518,94.5576261030178,132831651.19642872,146800000.0
146,13968249.852627994,81.18950474281665,132831668.95786726,146800000.0
147,13968246.08041882,69.71130610098581,132831684.20827508,146800000.0
148,13968242.841508016,59.85584188327796,132831697.3026501,146800000.0
149,13968240.060500128,51.393697561028965,132831708.54580231,146800000.0
150,13968237.672658809,44.12789211422754,132831718.19944908,146800000.0
151,13968235.62239987,37.889292748938004,132831726.48830739,146800000.0
152,13968233.861997388,32.53267785604247,132831733.60532475,146800000.0
153,13968232.35047273,27.933356567225587,132831739.7161707,146800000.0
154,13968231.052640645,23.984266219997476,132831744.96309313,146800000.0
155,13968229.938290225,20.593480167873313,132831749.4682296,146800000.0
156,13968228.981481649,17.682067923511852,132831753.33645043,146800000.0
157,13968228.159942355,15.182257823975705,132831756.65779981,146800000.0
158,13968227.454548575,13.03585944920237,132831759.50959198,146800000.0
159,13968226.84888018,11.192909071172803,132831761.95821075,146800000.0
160,13968226.32883844,9.610506602870075,132831764.06065495,146800000.0
161,13968225.882317847,8.251816973775378,132831765.86586519,146800000.0
162,13968225.498924311,7.0852126861114835,132831767.41586299,146800000.0
163,13968225.169733215,6.083537592405164,132831768.7467292,146800000.0
164,13968224.887081662,5.223474756696742,132831769.88944358,146800000.0
165,13968224.644390102,4.4850036845587065,132831770.87060621,146800000.0
166,13968224.436009174,3.8509342873931818,132831771.71305655,146800000.0
167,13968224.257088196,3.306506732683771,132831772.43640506,146800000.0
168,13968224.10346225,2.8390478655591362,132831773.05748989,146800000.0
169,13968223.971555244,2.437676203883849,132831773.59076855,146800000.0
170,13968223.858296651,2.0930486397797647,132831774.0486547,146800000.0
171,13968223.761050044,1.7971429513180777,132831774.441807,146800000.0
172,13968223.677551718,1.5430710617071683,132831774.77937722,146800000.0
173,13968223.605858007,1.3249186990382067,132831775.06922328,146800000.0
174,13968223.544300027,1.1376077242000187,132831775.31809226,146800000.0
175,13968223.491444834,0.9767779222422317,132831775.53177725,146800000.0
176,13968223.446062068,0.8386855055341631,132831775.71525241,146800000.0
177,13968223.40709531,0.7201159660827063,132831775.87278873,146800000.0
178,13968223.373637496,0.6183092483910745,132831776.00805326,146800000.0
179,13968223.344909795,0.5308955010368842,132831776.12419471,146800000.0
180,13968223.320243485,0.45583991139873925,132831776.2239166,146800000.0
181,13968223.299064387,0.3913953393973776,132831776.30954027,146800000.0
182,13968223.280879492,0.336061647662389,132831776.38305886,146800000.0
183,13968223.265265495,0.28855078141447393,132831776.44618373,146800000.0
184,13968223.251858935,0.2477567851947323,132831776.50038429,146800000.0
185,13968223.240347732,0.21273005849209353,132831776.5469222,146800000.0
186,13968223.230463931,0.18265525099281782,132831776.58688082,146800000.0
187,13968223.221977457,0.15683228289890522,132831776.62119026,146800000.0
188,13968223.214690762,0.13466004850742438,132831776.65064919,146800000.0
189,13968223.208434226,0.11562242370356599,132831776.67594334,146800000.0
190,13968223.203062212,0.09927625165060078,132831776.69766155,146800000.0
191,13968223.198449668,0.08524102700827908,132831776.71630931,146800000.0
192,13968223.194489224,0.07319003854945969,132831776.73232074,146800000.0
193,13968223.19108869,0.06284276399327063,132831776.74606854,146800000.0
194,13968223.188168908,0.05395834002213245,132831776.75787275,146800000.0
195,13968223.185661912,0.046329955478046095,132831776.76800813,146800000.0
196,13968223.183509344,0.03978003722326538,132831776.77671061,146800000.0
197,13968223.181661095,0.034156116602072656,132831776.78418279,146800000.0
198,13968223.180074144,0.02932728028337256,132831776.79059859,146800000.0
199,13968223.178711548,0.025181122867004586,132831776.79610732,146800000.0
200,13968223.177541591,0.021621130316704058,132831776.8008373,146800000.0
